station,year,severity,collision,road_type,lat,lng,fatal,crash_id
Banasawadi,2023,Fatal,Vehicle to Vehicle,Two way,13.019465,77.632622,1,252
Banasawadi,2023,Fatal,Not Applicable,Sub Arterial,12.996741,77.642259,1,253
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.019465,77.640044,0,254
Banasawadi,2023,Grievous Injury,Not Applicable,One way,13.019465,77.640025,0,255
Banasawadi,2023,Damage Only,Vehicle to Vehicle,Service Road,13.020947,77.650928,0,256
Banasawadi,2023,Grievous Injury,Hit pedestrian,Two way,13.011028,77.624954,0,257
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.019466,77.640068,0,258
Banasawadi,2023,Damage Only,Vehicle to Vehicle,Two way,13.005318,77.635478,0,259
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.011028,77.624954,0,260
Banasawadi,2023,Damage Only,Vehicle to Vehicle,Service Road,13.022379,77.640025,0,261
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Not Applicable,13.027652,77.632645,0,262
Banasawadi,2023,Grievous Injury,Not Applicable,Two way,13.018455,77.632133,0,263
Banasawadi,2023,Grievous Injury,Vehicle to Vehicle,Two way,13.016066,77.629238,0,264
Banasawadi,2023,Damage Only,Vehicle to Vehicle,Two way,13.020316,77.643196,0,265
Banashankari,2016,Damage Only,Head on,City or Town Road,12.93532,77.53602,0,266
Banashankari,2016,Simple Injury,Others,City or Town Road,12.912643,77.552666,0,267
Banashankari,2016,Simple Injury,Not Applicable,City or Town Road,12.932786,77.575568,0,268
Banashankari,2016,Simple Injury,Others,City or Town Road,12.94065,77.54632,0,269
Banashankari,2017,Grievous Injury,Hit and Run,City or Town Road,12.93892,77.54515,0,270
Banashankari,2017,Simple Injury,Others,Two way,12.924218,77.568919,0,271
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.936883,77.55257,0,272
Banashankari,2017,Simple Injury,Right Turn Collision,City or Town Road,12.926951,77.544387,0,273
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.923293,77.561214,0,274
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.920904,77.573839,0,275
Banashankari,2017,Damage Only,Not Applicable,Two way,12.929534,77.576478,0,276
Banashankari,2017,Simple Injury,Not Applicable,City or Town Road,12.93475,77.562044,0,277
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.92514,77.55017,0,278
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.920954,77.561862,0,279
Banashankari,2017,Simple Injury,Hit and Run,City or Town Road,12.933165,77.543488,0,280
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.921877,77.560394,0,281
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.923899,77.553746,0,282
Banashankari,2017,Simple Injury,Hit pedestrian,City or Town Road,12.930016,77.535855,0,283
Banashankari,2017,Simple Injury,Not Applicable,Two way,12.927973,77.5519,0,284
Banashankari,2017,Simple Injury,Head on,City or Town Road,12.92474,77.56062,0,285
Banashankari,2017,Simple Injury,Hit pedestrian,City or Town Road,12.92198,77.56974,0,286
Banashankari,2017,Simple Injury,Others,Two way,12.94032,77.548408,0,287
